I,I,First Citizen,"Before we proceed any further, hear me speak."
I,I,All,"Speak, speak."
I,I,First Citizen,"You are all resolved rather to die than to famish?"
I,I,All,"Resolved. resolved."
I,I,First Citizen,"First, you know Caius Marcius is chief enemy to the people."
I,I,All,"We know't, we know't."
I,I,First Citizen,"Let us kill him, and we'll have corn at our own price."
I,I,First Citizen,"Is't a verdict?"
I,I,All,"No more talking on't; let it be done: away, away!"
I,I,Second Citizen,"One word, good citizens."
I,I,First Citizen,"We are accounted poor citizens, the patricians good."
I,I,First Citizen,"What authority surfeits on would relieve us: if they"
I,I,First Citizen,"would yield us but the superfluity, while it were"
I,I,First Citizen,"wholesome, we might guess they relieved us humanely;"
I,I,First Citizen,"but they think we are too dear: the leanness that"
I,I,First Citizen,"afflicts us, the object of our misery, is as an"
I,I,First Citizen,"inventory to particularise their abundance; our"
I,I,First Citizen,"sufferance is a gain to them Let us revenge this with"
I,I,First Citizen,"our pikes, ere we become rakes: for the gods know I"
I,I,First Citizen,"speak this in hunger for bread, not in thirst for revenge."
I,I,Second Citizen,"Would you proceed especially against Caius Marcius?"
I,I,All,"Against him first: he's a very dog to the commonalty."
I,I,Second Citizen,"Consider you what services he has done for his country?"
I,I,First Citizen,"Very well; and could be content to give him good"
I,I,First Citizen,"report fort, but that he pays himself with being proud."
I,I,Second Citizen,"Nay, but speak not maliciously."
I,I,First Citizen,"I say unto you, what he hath done famously, he did"
I,I,First Citizen,"it to that end: though soft-conscienced men can be"
I,I,First Citizen,"content to say it was for his country he did it to"
I,I,First Citizen,"please his mother and to be partly proud; which he"
I,I,First Citizen,"is, even till the altitude of his virtue."
I,I,Second Citizen,"What he cannot help in his nature, you account a"
I,I,Second Citizen,"vice in him. You must in no way say he is covetous."
I,I,First Citizen,"If I must not, I need not be barren of accusations;"
I,I,First Citizen,"he hath faults, with surplus, to tire in repetition."
I,I,First Citizen,"What shouts are these? The other side o' the city"
I,I,First Citizen,"is risen: why stay we prating here? to the Capitol!"
I,I,All,"Come, come."
I,I,First Citizen,"Soft! who comes here?"
I,I,Second Citizen,"Worthy Menenius Agrippa; one that hath always loved"
I,I,Second Citizen,"the people."
I,I,First Citizen,"He's one honest enough: would all the rest were so!"
I,I,MENENIUS,"What work's, my countrymen, in hand? where go you"
I,I,MENENIUS,"With bats and clubs? The matter? speak, I pray you."
I,I,First Citizen,"Our business is not unknown to the senate; they have"
I,I,First Citizen,"had inkling this fortnight what we intend to do,"
I,I,First Citizen,"which now we'll show 'em in deeds. They say poor"
I,I,First Citizen,"suitors have strong breaths: they shall know we"
I,I,First Citizen,"have strong arms too."
I,I,MENENIUS,"Why, masters, my good friends, mine honest neighbours,"
I,I,MENENIUS,"Will you undo yourselves?"
I,I,First Citizen,"We cannot, sir, we are undone already."
I,I,MENENIUS,"I tell you, friends, most charitable care"
I,I,MENENIUS,"Have the patricians of you. For your wants,"
I,I,MENENIUS,"Your suffering in this dearth, you may as well"
I,I,MENENIUS,"Strike at the heaven with your staves as lift them"
I,I,MENENIUS,"Against the Roman state, whose course will on"
I,I,MENENIUS,"The way it takes, cracking ten thousand curbs"
I,I,MENENIUS,"Of more strong link asunder than can ever"
I,I,MENENIUS,"Appear in your impediment. For the dearth,"
I,I,MENENIUS,"The gods, not the patricians, make it, and"
I,I,MENENIUS,"Your knees to them, not arms, must help. Alack,"
I,I,MENENIUS,"You are transported by calamity"
I,I,MENENIUS,"Thither where more attends you, and you slander"
I,I,MENENIUS,"The helms o' the state, who care for you like fathers,"
I,I,MENENIUS,"When you curse them as enemies."
I,I,First Citizen,"Care for us! True, indeed! They ne'er cared for us"
I,I,First Citizen,"yet: suffer us to famish, and their store-houses"
I,I,First Citizen,"crammed with grain; make edicts for usury, to"
I,I,First Citizen,"support usurers; repeal daily any wholesome act"
I,I,First Citizen,"established against the rich, and provide more"
I,I,First Citizen,"piercing statutes daily, to chain up and restrain"
I,I,First Citizen,"the poor. If the wars eat us not up, they will; and"
I,I,First Citizen,"there's all the love they bear us."
I,I,MENENIUS,"Either you must"
I,I,MENENIUS,"Confess yourselves wondrous malicious,"
I,I,MENENIUS,"Or be accused of folly. I shall tell you"
I,I,MENENIUS,"A pretty tale: it may be you have heard it;"
I,I,MENENIUS,"But, since it serves my purpose, I will venture"
I,I,MENENIUS,"To stale 't a little more."
I,I,First Citizen,"Well, I'll hear it, sir: yet you must not think to"
I,I,First Citizen,"fob off our disgrace with a tale: but, an 't please"
I,I,First Citizen,"you, deliver."
I,I,MENENIUS,"There was a time when all the body's members"
I,I,MENENIUS,"Rebell'd against the belly, thus accused it:"
I,I,MENENIUS,"That only like a gulf it did remain"
I,I,MENENIUS,"I' the midst o' the body, idle and unactive,"
I,I,MENENIUS,"Still cupboarding the viand, never bearing"
I,I,MENENIUS,"Like labour with the rest, where the other instruments"
I,I,MENENIUS,"Did see and hear, devise, instruct, walk, feel,"
I,I,MENENIUS,"And, mutually participate, did minister"
I,I,MENENIUS,"Unto the appetite and affection common"
I,I,MENENIUS,"Of the whole body. The belly answer'd--"
I,I,First Citizen,"Well, sir, what answer made the belly?"
I,I,MENENIUS,"Sir, I shall tell you. With a kind of smile,"
I,I,MENENIUS,"Which ne'er came from the lungs, but even thus--"
I,I,MENENIUS,"For, look you, I may make the belly smile"
I,I,MENENIUS,"As well as speak--it tauntingly replied"
I,I,MENENIUS,"To the discontented members, the mutinous parts"
I,I,MENENIUS,"That envied his receipt; even so most fitly"
I,I,MENENIUS,"As you malign our senators for that"
I,I,MENENIUS,"They are not such as you."
I,I,First Citizen,"Your belly's answer? What!"
I,I,First Citizen,"The kingly-crowned head, the vigilant eye,"
I,I,First Citizen,"The counsellor heart, the arm our soldier,"
I,I,First Citizen,"Our steed the leg, the tongue our trumpeter."
I,I,First Citizen,"With other muniments and petty helps"
I,I,First Citizen,"In this our fabric, if that they--"
I,I,MENENIUS,"What then?"
I,I,MENENIUS,"'Fore me, this fellow speaks! What then? what then?"
I,I,First Citizen,"Should by the cormorant belly be restrain'd,"
I,I,First Citizen,"Who is the sink o' the body,--"
I,I,MENENIUS,"Well, what then?"
I,I,First Citizen,"The former agents, if they did complain,"
I,I,First Citizen,"What could the belly answer?"
I,I,MENENIUS,"I will tell you"
I,I,MENENIUS,"If you'll bestow a small--of what you have little--"
I,I,MENENIUS,"Patience awhile, you'll hear the belly's answer."
I,I,First Citizen,"Ye're long about it."
I,I,MENENIUS,"Note me this, good friend;"
I,I,MENENIUS,"Your most grave belly was deliberate,"
I,I,MENENIUS,"Not rash like his accusers, and thus answer'd:"
I,I,MENENIUS,"'True is it, my incorporate friends,' quoth he,"
I,I,MENENIUS,"'That I receive the general food at first,"
I,I,MENENIUS,"Which you do live upon; and fit it is,"
I,I,MENENIUS,"Because I am the store-house and the shop"
I,I,MENENIUS,"Of the whole body: but, if you do remember,"
I,I,MENENIUS,"I send it through the rivers of your blood,"
I,I,MENENIUS,"Even to the court, the heart, to the seat o' the brain;"
I,I,MENENIUS,"And, through the cranks and offices of man,"
I,I,MENENIUS,"The strongest nerves and small inferior veins"
I,I,MENENIUS,"From me receive that natural competency"
I,I,MENENIUS,"Whereby they live: and though that all at once,"
I,I,MENENIUS,"You, my good friends,'--this says the belly, mark me,--"
I,I,First Citizen,"Ay, sir; well, well."
I,I,MENENIUS,"'Though all at once cannot"
I,I,MENENIUS,"See what I do deliver out to each,"
I,I,MENENIUS,"Yet I can make my audit up, that all"
I,I,MENENIUS,"From me do back receive the flour of all,"
I,I,MENENIUS,"And leave me but the bran.' What say you to't?"
I,I,First Citizen,"It was an answer: how apply you this?"
I,I,MENENIUS,"The senators of Rome are this good belly,"
I,I,MENENIUS,"And you the mutinous members; for examine"
I,I,MENENIUS,"Their counsels and their cares, digest things rightly"
I,I,MENENIUS,"Touching the weal o' the common, you shall find"
I,I,MENENIUS,"No public benefit which you receive"
I,I,MENENIUS,"But it proceeds or comes from them to you"
I,I,MENENIUS,"And no way from yourselves. What do you think,"
I,I,MENENIUS,"You, the great toe of this assembly?"
I,I,First Citizen,"I the great toe! why the great toe?"
I,I,MENENIUS,"For that, being one o' the lowest, basest, poorest,"
I,I,MENENIUS,"Of this most wise rebellion, thou go'st foremost:"
I,I,MENENIUS,"Thou rascal, that art worst in blood to run,"
I,I,MENENIUS,"Lead'st first to win some vantage."
I,I,MENENIUS,"But make you ready your stiff bats and clubs:"
I,I,MENENIUS,"Rome and her rats are at the point of battle;"
I,I,MENENIUS,"The one side must have bale."
I,I,MENENIUS,"Hail, noble Marcius!"
I,I,MARCIUS,"Thanks. What's the matter, you dissentious rogues,"
I,I,MARCIUS,"That, rubbing the poor itch of your opinion,"
I,I,MARCIUS,"Make yourselves scabs?"
I,I,First Citizen,"We have ever your good word."
I,I,MARCIUS,"He that will give good words to thee will flatter"
I,I,MARCIUS,"Beneath abhorring. What would you have, you curs,"
I,I,MARCIUS,"That like nor peace nor war? the one affrights you,"
I,I,MARCIUS,"The other makes you proud. He that trusts to you,"
I,I,MARCIUS,"Where he should find you lions, finds you hares;"
I,I,MARCIUS,"Where foxes, geese: you are no surer, no,"
I,I,MARCIUS,"Than is the coal of fire upon the ice,"
I,I,MARCIUS,"Or hailstone in the sun. Your virtue is"
I,I,MARCIUS,"To make him worthy whose offence subdues him"
I,I,MARCIUS,"And curse that justice did it."
I,I,MARCIUS,"Who deserves greatness"
I,I,MARCIUS,"Deserves your hate; and your affections are"
I,I,MARCIUS,"A sick man's appetite, who desires most that"
I,I,MARCIUS,"Which would increase his evil. He that depends"
I,I,MARCIUS,"Upon your favours swims with fins of lead"
I,I,MARCIUS,"And hews down oaks with rushes. Hang ye! Trust Ye?"
I,I,MARCIUS,"With every minute you do change a mind,"
I,I,MARCIUS,"And call him noble that was now your hate,"
I,I,MARCIUS,"Him vile that was your garland. What's the matter,"
I,I,MARCIUS,"That in these several places of the city"
I,I,MARCIUS,"You cry against the noble senate, who,"
I,I,MARCIUS,"Under the gods, keep you in awe, which else"
I,I,MARCIUS,"Would feed on one another? What's their seeking?"
I,I,MENENIUS,"For corn at their own rates; whereof, they say,"
I,I,MENENIUS,"The city is well stored."
I,I,MARCIUS,"Hang 'em! They say!"
I,I,MARCIUS,"They'll sit by the fire, and presume to know"
I,I,MARCIUS,"What's done i' the Capitol; who's like to rise,"
I,I,MARCIUS,"Who thrives and who declines; side factions"
I,I,MARCIUS,"and give out"
I,I,MARCIUS,"Conjectural marriages; making parties strong"
I,I,MARCIUS,"And feebling such as stand not in their liking"
I,I,MARCIUS,"Below their cobbled shoes. They say there's"
I,I,MARCIUS,"grain enough!"
I,I,MARCIUS,"Would the nobility lay aside their ruth,"
I,I,MARCIUS,"And let me use my sword, I'll make a quarry"
I,I,MARCIUS,"With thousands of these quarter'd slaves, as high"
I,I,MARCIUS,"As I could pick my lance."
I,I,MENENIUS,"Nay, these are almost thoroughly persuaded;"
I,I,MENENIUS,"For though abundantly they lack discretion,"
I,I,MENENIUS,"Yet are they passing cowardly. But, I beseech you,"
I,I,MENENIUS,"What says the other troop?"
I,I,MARCIUS,"They are dissolved: hang 'em!"
I,I,MARCIUS,"They said they were an-hungry; sigh'd forth proverbs,"
I,I,MARCIUS,"That hunger broke stone walls, that dogs must eat,"
I,I,MARCIUS,"That meat was made for mouths, that the gods sent not"
I,I,MARCIUS,"Corn for the rich men only: with these shreds"
I,I,MARCIUS,"They vented their complainings; which being answer'd,"
I,I,MARCIUS,"And a petition granted them, a strange one--"
I,I,MARCIUS,"To break the heart of generosity,"
I,I,MARCIUS,"And make bold power look pale--they threw their caps"
I,I,MARCIUS,"As they would hang them on the horns o' the moon,"
I,I,MARCIUS,"Shouting their emulation."
I,I,MENENIUS,"What is granted them?"
I,I,MARCIUS,"Five tribunes to defend their vulgar wisdoms,"
I,I,MARCIUS,"Of their own choice: one's Junius Brutus,"
I,I,MARCIUS,"Sicinius Velutus, and I know not--'Sdeath!"
I,I,MARCIUS,"The rabble should have first unroof'd the city,"
I,I,MARCIUS,"Ere so prevail'd with me: it will in time"
I,I,MARCIUS,"Win upon power and throw forth greater themes"
I,I,MARCIUS,"For insurrection's arguing."
I,I,MENENIUS,"This is strange."
I,I,MARCIUS,"Go, get you home, you fragments!"
I,I,Messenger,"Where's Caius Marcius?"
I,I,MARCIUS,"Here: what's the matter?"
I,I,Messenger,"The news is, sir, the Volsces are in arms."
I,I,MARCIUS,"I am glad on 't: then we shall ha' means to vent"
I,I,MARCIUS,"Our musty superfluity. See, our best elders."
I,I,First Senator,"Marcius, 'tis true that you have lately told us;"
I,I,First Senator,"The Volsces are in arms."
I,I,MARCIUS,"They have a leader,"
I,I,MARCIUS,"Tullus Aufidius, that will put you to 't."
I,I,MARCIUS,"I sin in envying his nobility,"
I,I,MARCIUS,"And were I any thing but what I am,"
I,I,MARCIUS,"I would wish me only he."
I,I,COMINIUS,"You have fought together."
I,I,MARCIUS,"Were half to half the world by the ears and he."
I,I,MARCIUS,"Upon my party, I'ld revolt to make"
I,I,MARCIUS,"Only my wars with him: he is a lion"
I,I,MARCIUS,"That I am proud to hunt."
I,I,First Senator,"Then, worthy Marcius,"
I,I,First Senator,"Attend upon Cominius to these wars."
I,I,COMINIUS,"It is your former promise."
I,I,MARCIUS,"Sir, it is;"
I,I,MARCIUS,"And I am constant. Titus Lartius, thou"
I,I,MARCIUS,"Shalt see me once more strike at Tullus' face."
I,I,MARCIUS,"What, art thou stiff? stand'st out?"
I,I,TITUS,"No, Caius Marcius;"
I,I,TITUS,"I'll lean upon one crutch and fight with t'other,"
I,I,TITUS,"Ere stay behind this business."
I,I,MENENIUS,"O, true-bred!"
I,I,First Senator,"Your company to the Capitol; where, I know,"
I,I,First Senator,"Our greatest friends attend us."
I,I,TITUS,"Right worthy you priority."
I,I,COMINIUS,"Noble Marcius!"
I,I,MARCIUS,"Nay, let them follow:"
I,I,MARCIUS,"The Volsces have much corn; take these rats thither"
I,I,MARCIUS,"To gnaw their garners. Worshipful mutiners,"
I,I,MARCIUS,"Your valour puts well forth: pray, follow."
I,I,SICINIUS,"Was ever man so proud as is this Marcius?"
I,I,BRUTUS,"He has no equal."
I,I,SICINIUS,"When we were chosen tribunes for the people,--"
I,I,BRUTUS,"Mark'd you his lip and eyes?"
I,I,SICINIUS,"Nay. but his taunts."
I,I,BRUTUS,"Being moved, he will not spare to gird the gods."
I,I,SICINIUS,"Be-mock the modest moon."
I,I,BRUTUS,"The present wars devour him: he is grown"
I,I,BRUTUS,"Too proud to be so valiant."
I,I,SICINIUS,"Such a nature,"
I,I,SICINIUS,"Tickled with good success, disdains the shadow"
I,I,SICINIUS,"Which he treads on at noon: but I do wonder"
I,I,SICINIUS,"His insolence can brook to be commanded"
I,I,SICINIUS,"Under Cominius."
I,I,BRUTUS,"Fame, at the which he aims,"
I,I,BRUTUS,"In whom already he's well graced, can not"
I,I,BRUTUS,"Better be held nor more attain'd than by"
