I,I,KENT,"I thought the king had more affected the Duke of"
I,I,KENT,"Albany than Cornwall."
I,I,GLOUCESTER,"It did always seem so to us: but now, in the"
I,I,GLOUCESTER,"division of the kingdom, it appears not which of"
I,I,GLOUCESTER,"the dukes he values most; for equalities are so"
I,I,GLOUCESTER,"weighed, that curiosity in neither can make choice"
I,I,GLOUCESTER,"of either's moiety."
I,I,KENT,"Is not this your son, my lord?"
I,I,GLOUCESTER,"His breeding, sir, hath been at my charge: I have"
I,I,GLOUCESTER,"so often blushed to acknowledge him, that now I am"
I,I,GLOUCESTER,"brazed to it."
I,I,KENT,"I cannot conceive you."
I,I,GLOUCESTER,"Sir, this young fellow's mother could: whereupon"
I,I,GLOUCESTER,"she grew round-wombed, and had, indeed, sir, a son"
I,I,GLOUCESTER,"for her cradle ere she had a husband for her bed."
I,I,GLOUCESTER,"Do you smell a fault?"
I,I,KENT,"I cannot wish the fault undone, the issue of it"
I,I,KENT,"being so proper."
I,I,GLOUCESTER,"But I have, sir, a son by order of law, some year"
I,I,GLOUCESTER,"elder than this, who yet is no dearer in my account:"
I,I,GLOUCESTER,"though this knave came something saucily into the"
I,I,GLOUCESTER,"world before he was sent for, yet was his mother"
I,I,GLOUCESTER,"fair; there was good sport at his making, and the"
I,I,GLOUCESTER,"whoreson must be acknowledged. Do you know this"
I,I,GLOUCESTER,"noble gentleman, Edmund?"
I,I,EDMUND,"No, my lord."
I,I,GLOUCESTER,"My lord of Kent: remember him hereafter as my"
I,I,GLOUCESTER,"honourable friend."
I,I,EDMUND,"My services to your lordship."
I,I,KENT,"I must love you, and sue to know you better."
I,I,EDMUND,"Sir, I shall study deserving."
I,I,GLOUCESTER,"He hath been out nine years, and away he shall"
I,I,GLOUCESTER,"again. The king is coming."
I,I,KING LEAR,"Attend the lords of France and Burgundy, Gloucester."
I,I,GLOUCESTER,"I shall, my liege."
I,I,KING LEAR,"Meantime we shall express our darker purpose."
I,I,KING LEAR,"Give me the map there. Know that we have divided"
I,I,KING LEAR,"In three our kingdom: and 'tis our fast intent"
I,I,KING LEAR,"To shake all cares and business from our age;"
I,I,KING LEAR,"Conferring them on younger strengths, while we"
I,I,KING LEAR,"Unburthen'd crawl toward death. Our son of Cornwall,"
I,I,KING LEAR,"And you, our no less loving son of Albany,"
I,I,KING LEAR,"We have this hour a constant will to publish"
I,I,KING LEAR,"Our daughters' several dowers, that future strife"
I,I,KING LEAR,"May be prevented now. The princes, France and Burgundy,"
I,I,KING LEAR,"Great rivals in our youngest daughter's love,"
I,I,KING LEAR,"Long in our court have made their amorous sojourn,"
I,I,KING LEAR,"And here are to be answer'd. Tell me, my daughters,--"
