I,I,SATURNINUS,"Noble patricians, patrons of my right,"
I,I,SATURNINUS,"Defend the justice of my cause with arms,"
I,I,SATURNINUS,"And, countrymen, my loving followers,"
I,I,SATURNINUS,"Plead my successive title with your swords:"
I,I,SATURNINUS,"I am his first-born son, that was the last"
I,I,SATURNINUS,"That wore the imperial diadem of Rome;"
I,I,SATURNINUS,"Then let my father's honours live in me,"
I,I,SATURNINUS,"Nor wrong mine age with this indignity."
I,I,BASSIANUS,"Romans, friends, followers, favorers of my right,"
I,I,BASSIANUS,"If ever Bassianus, Caesar's son,"
I,I,BASSIANUS,"Were gracious in the eyes of royal Rome,"
I,I,BASSIANUS,"Keep then this passage to the Capitol"
I,I,BASSIANUS,"And suffer not dishonour to approach"
I,I,BASSIANUS,"The imperial seat, to virtue consecrate,"
I,I,BASSIANUS,"To justice, continence and nobility;"
I,I,BASSIANUS,"But let desert in pure election shine,"
I,I,BASSIANUS,"And, Romans, fight for freedom in your choice."
I,I,MARCUS ANDRONICUS,"Princes, that strive by factions and by friends"
I,I,MARCUS ANDRONICUS,"Ambitiously for rule and empery,"
I,I,MARCUS ANDRONICUS,"Know that the people of Rome, for whom we stand"
I,I,MARCUS ANDRONICUS,"A special party, have, by common voice,"
I,I,MARCUS ANDRONICUS,"In election for the Roman empery,"
I,I,MARCUS ANDRONICUS,"Chosen Andronicus, surnamed Pius"
I,I,MARCUS ANDRONICUS,"For many good and great deserts to Rome:"
I,I,MARCUS ANDRONICUS,"A nobler man, a braver warrior,"
I,I,MARCUS ANDRONICUS,"Lives not this day within the city walls:"
I,I,MARCUS ANDRONICUS,"He by the senate is accit'd home"
I,I,MARCUS ANDRONICUS,"From weary wars against the barbarous Goths;"
I,I,MARCUS ANDRONICUS,"That, with his sons, a terror to our foes,"
I,I,MARCUS ANDRONICUS,"Hath yoked a nation strong, train'd up in arms."
I,I,MARCUS ANDRONICUS,"Ten years are spent since first he undertook"
I,I,MARCUS ANDRONICUS,"This cause of Rome and chastised with arms"
I,I,MARCUS ANDRONICUS,"Our enemies' pride: five times he hath return'd"
I,I,MARCUS ANDRONICUS,"Bleeding to Rome, bearing his valiant sons"
I,I,MARCUS ANDRONICUS,"In coffins from the field;"
I,I,MARCUS ANDRONICUS,"And now at last, laden with horror's spoils,"
I,I,MARCUS ANDRONICUS,"Returns the good Andronicus to Rome,"
I,I,MARCUS ANDRONICUS,"Renowned Titus, flourishing in arms."
I,I,MARCUS ANDRONICUS,"Let us entreat, by honour of his name,"
I,I,MARCUS ANDRONICUS,"Whom worthily you would have now succeed."
I,I,MARCUS ANDRONICUS,"And in the Capitol and senate's right,"
I,I,MARCUS ANDRONICUS,"Whom you pretend to honour and adore,"
I,I,MARCUS ANDRONICUS,"That you withdraw you and abate your strength;"
I,I,MARCUS ANDRONICUS,"Dismiss your followers and, as suitors should,"
I,I,MARCUS ANDRONICUS,"Plead your deserts in peace and humbleness."
I,I,SATURNINUS,"How fair the tribune speaks to calm my thoughts!"
I,I,BASSIANUS,"Marcus Andronicus, so I do ally"
I,I,BASSIANUS,"In thy uprightness and integrity,"
I,I,BASSIANUS,"And so I love and honour thee and thine,"
I,I,BASSIANUS,"Thy noble brother Titus and his sons,"
I,I,BASSIANUS,"And her to whom my thoughts are humbled all,"
I,I,BASSIANUS,"Gracious Lavinia, Rome's rich ornament,"
I,I,BASSIANUS,"That I will here dismiss my loving friends,"
I,I,BASSIANUS,"And to my fortunes and the people's favor"
I,I,BASSIANUS,"Commit my cause in balance to be weigh'd."
I,I,SATURNINUS,"Friends, that have been thus forward in my right,"
I,I,SATURNINUS,"I thank you all and here dismiss you all,"
I,I,SATURNINUS,"And to the love and favor of my country"
I,I,SATURNINUS,"Commit myself, my person and the cause."
I,I,SATURNINUS,"Rome, be as just and gracious unto me"
I,I,SATURNINUS,"As I am confident and kind to thee."
I,I,SATURNINUS,"Open the gates, and let me in."
I,I,BASSIANUS,"Tribunes, and me, a poor competitor."
I,I,Captain,"Romans, make way: the good Andronicus."
I,I,Captain,"Patron of virtue, Rome's best champion,"
I,I,Captain,"Successful in the battles that he fights,"
I,I,Captain,"With honour and with fortune is return'd"
I,I,Captain,"From where he circumscribed with his sword,"
I,I,Captain,"And brought to yoke, the enemies of Rome."
I,I,TITUS ANDRONICUS,"Hail, Rome, victorious in thy mourning weeds!"
I,I,TITUS ANDRONICUS,"Lo, as the bark, that hath discharged her fraught,"
I,I,TITUS ANDRONICUS,"Returns with precious jading to the bay"
I,I,TITUS ANDRONICUS,"From whence at first she weigh'd her anchorage,"
